TriggerID,EventType,SubjectType,SubjectID,TargetType,TargetID,ActionType,AttackType,MapGroup,CombatState,PartyState,CharacterState,ValueMainType,ValueMain,ValueSubType,ValueSub,Speaker,Note
T10012,Chat.Event.KillEnemy,Actor.Type.Player,Actor.Nefer,Actor.Type.Enemy,Actor.Mummy,Chat.Action.Skill,Chat.Attack.Ranged,Map.Group.Upper,State.Combat.Normal,State.Party.AllAlive,State.Character.Normal,Value.Main.KillCount,1,Value.Sub.None,,Speaker.Thoth,네페르가 스킬로 일반 적 처치
T10013,Chat.Event.KillElite,Actor.Type.Player,Actor.Heru,Actor.Type.Enemy,Actor.BlackScorpion,Chat.Action.Skill,Chat.Attack.Melee,Map.Group.Surface,State.Combat.Elite,State.Party.AllAlive,State.Character.Buffed,Value.Main.KillCount,1,Value.Sub.None,,Speaker.Horus,헤루가 버프 상태에서 엘리트 처치
T10014,Chat.Event.KillElite,Actor.Type.Player,Actor.Inpu,Actor.Type.Enemy,Actor.SetPriest,Chat.Action.Skill,Chat.Attack.DOT,Map.Group.Deep,State.Combat.Elite,State.Party.OneDown,State.Character.Debuffed,Value.Main.KillCount,1,Value.Sub.Stack,3,Speaker.Anubis,인푸가 지속 피해로 엘리트 처치
T10015,Chat.Event.MultiKill,Actor.Type.Player,Actor.Heru,Actor.Type.Enemy,Actor.Mummy,Chat.Action.Skill,Chat.Attack.Melee,Map.Group.Upper,State.Combat.Normal,State.Party.AllAlive,State.Character.Buffed,Value.Main.KillCount,3,Value.Sub.None,,Speaker.Ra,헤루가 연속 처치 달성
T10016,Chat.Event.MultiKill,Actor.Type.Player,Actor.Nefer,Actor.Type.Enemy,Actor.Scarab,Chat.Action.Skill,Chat.Attack.Ranged,Map.Group.Surface,State.Combat.Normal,State.Party.AllAlive,State.Character.Buffed,Value.Main.KillCount,3,Value.Sub.None,,Speaker.Isis,네페르가 원거리 연속 처치 달성
T10017,Chat.Event.Down,Actor.Type.Player,Actor.Heru,Actor.Type.Player,Actor.Heru,Chat.Action.EnemyAttack,Chat.Attack.Melee,Map.Group.Deep,State.Combat.Boss,State.Party.OneDown,State.Character.Downed,Value.Main.Damage,30,Value.Sub.HPPercent,0,Speaker.Isis,헤루가 보스전 중 다운
T10018,Chat.Event.Down,Actor.Type.Player,Actor.Nefer,Actor.Type.Player,Actor.Nefer,Chat.Action.EnemyAttack,Chat.Attack.Ranged,Map.Group.Upper,State.Combat.Elite,State.Party.OneDown,State.Character.Downed,Value.Main.Damage,30,Value.Sub.HPPercent,0,Speaker.Horus,네페르가 엘리트 전투 중 다운
T10019,Chat.Event.Down,Actor.Type.Player,Actor.Inpu,Actor.Type.Player,Actor.Inpu,Chat.Action.EnemyAttack,Chat.Attack.DOT,Map.Group.Deep,State.Combat.Boss,State.Party.TwoDown,State.Character.Downed,Value.Main.Damage,30,Value.Sub.HPPercent,0,Speaker.Anubis,인푸가 보스전 중 다운되어 파티가 위험
T10020,Chat.Event.Revive,Actor.Type.Player,Actor.Heru,Actor.Type.Player,Actor.Nefer,Chat.Action.Revive,,Map.Group.Deep,State.Combat.Normal,State.Party.Recovered,State.Character.Revived,Value.Main.Progress,1,Value.Sub.None,,Speaker.Isis,헤루가 네페르를 부활
T10021,Chat.Event.Revive,Actor.Type.Player,Actor.Inpu,Actor.Type.Player,Actor.Heru,Chat.Action.Revive,,Map.Group.Deep,State.Combat.Boss,State.Party.Recovered,State.Character.Revived,Value.Main.Progress,1,Value.Sub.None,,Speaker.Horus,인푸가 보스전 중 헤루를 부활
T10022,Chat.Event.HealReceived,Actor.Type.Player,Actor.Heru,Actor.Type.Player,Actor.Heru,Chat.Action.StatusEffect,,Map.Group.Camp,State.Combat.PostCombat,State.Party.Recovered,State.Character.Normal,Value.Main.Heal,20,Value.Sub.HPPercent,60,Speaker.Hathor,전투 후 헤루가 회복 받음
T10023,Chat.Event.HealReceived,Actor.Type.Player,Actor.Nefer,Actor.Type.Player,Actor.Nefer,Chat.Action.StatusEffect,,Map.Group.Camp,State.Combat.PostCombat,State.Party.Recovered,State.Character.Normal,Value.Main.Heal,20,Value.Sub.HPPercent,60,Speaker.Isis,전투 후 네페르가 회복 받음
T10024,Chat.Event.EnterArea,Actor.Type.Party,Actor.Party,Actor.Type.System,Actor.Party,Chat.Action.Interaction,,Map.Group.Surface,State.Combat.NonCombat,State.Party.AllAlive,State.Character.Normal,Value.Main.Progress,1,Value.Sub.None,,Speaker.System,파티가 지상 구역에 진입
T10025,Chat.Event.EnterArea,Actor.Type.Party,Actor.Party,Actor.Type.System,Actor.Party,Chat.Action.Interaction,,Map.Group.Upper,State.Combat.NonCombat,State.Party.AllAlive,State.Character.Normal,Value.Main.Progress,1,Value.Sub.None,,Speaker.System,파티가 지하 상층에 진입
T10026,Chat.Event.EnterArea,Actor.Type.Party,Actor.Party,Actor.Type.System,Actor.Party,Chat.Action.Interaction,,Map.Group.Deep,State.Combat.NonCombat,State.Party.AllAlive,State.Character.Normal,Value.Main.Progress,1,Value.Sub.None,,Speaker.System,파티가 지하 심층에 진입
T10027,Chat.Event.EnterArea,Actor.Type.Party,Actor.Party,Actor.Type.System,Actor.Party,Chat.Action.Interaction,,Map.Group.SetTemple,State.Combat.Boss,State.Party.Critical,State.Character.Normal,Value.Main.Progress,1,Value.Sub.None,,Speaker.Set,파티가 세트의 신전에 진입
T10028,Chat.Event.ClearArea,Actor.Type.Party,Actor.Party,Actor.Type.System,Actor.Party,Chat.Action.Interaction,,Map.Group.Surface,State.Combat.PostCombat,State.Party.AllAlive,State.Character.Normal,Value.Main.Progress,100,Value.Sub.None,,Speaker.Ra,지상 구역 완료
T10029,Chat.Event.ClearArea,Actor.Type.Party,Actor.Party,Actor.Type.System,Actor.Party,Chat.Action.Interaction,,Map.Group.Upper,State.Combat.PostCombat,State.Party.AllAlive,State.Character.Normal,Value.Main.Progress,100,Value.Sub.None,,Speaker.Thoth,지하 상층 완료
T10030,Chat.Event.ClearArea,Actor.Type.Party,Actor.Party,Actor.Type.System,Actor.Party,Chat.Action.Interaction,,Map.Group.Deep,State.Combat.PostCombat,State.Party.AllAlive,State.Character.Normal,Value.Main.Progress,100,Value.Sub.None,,Speaker.Anubis,지하 심층 완료
T10031,Chat.Event.DiscoverSecret,Actor.Type.Player,Actor.Heru,Actor.Type.Object,Actor.LoreTablet,Chat.Action.Interaction,,Map.Group.Surface,State.Combat.NonCombat,State.Party.AllAlive,State.Character.Normal,Value.Main.Progress,1,Value.Sub.None,,Speaker.Thoth,헤루가 숨겨진 석판 발견
T10032,Chat.Event.DiscoverSecret,Actor.Type.Player,Actor.Nefer,Actor.Type.Object,Actor.LoreTablet,Chat.Action.Interaction,,Map.Group.Upper,State.Combat.NonCombat,State.Party.AllAlive,State.Character.Normal,Value.Main.Progress,1,Value.Sub.None,,Speaker.Isis,네페르가 숨겨진 길 발견
T10033,Chat.Event.InteractLore,Actor.Type.Player,Actor.Inpu,Actor.Type.Object,Actor.LoreTablet,Chat.Action.Interaction,,Map.Group.Deep,State.Combat.NonCombat,State.Party.AllAlive,State.Character.Normal,Value.Main.Progress,1,Value.Sub.None,,Speaker.Anubis,인푸가 로어 석판을 읽음
T10034,Chat.Event.BreakObject,Actor.Type.Player,Actor.Heru,Actor.Type.Object,Actor.Pot,Chat.Action.ObjectBreak,Chat.Attack.Melee,Map.Group.Surface,State.Combat.NonCombat,State.Party.AllAlive,State.Character.Normal,Value.Main.ObjectCount,1,Value.Sub.None,,Speaker.Bastet,헤루가 항아리 파괴
T10035,Chat.Event.BreakObject,Actor.Type.Player,Actor.Nefer,Actor.Type.Object,Actor.Pot,Chat.Action.ObjectBreak,Chat.Attack.Ranged,Map.Group.Upper,State.Combat.NonCombat,State.Party.AllAlive,State.Character.Normal,Value.Main.ObjectCount,3,Value.Sub.None,,Speaker.Bastet,네페르가 오브젝트 여러 개 파괴
T10036,Chat.Event.SolvePuzzle,Actor.Type.Player,Actor.Inpu,Actor.Type.System,Actor.Party,Chat.Action.Puzzle,,Map.Group.Deep,State.Combat.NonCombat,State.Party.AllAlive,State.Character.Normal,Value.Main.Progress,100,Value.Sub.None,,Speaker.Thoth,인푸가 퍼즐 해결
T10037,Chat.Event.TriggerTrap,Actor.Type.Player,Actor.Heru,Actor.Type.Trap,Actor.Trap,Chat.Action.Trap,Chat.Attack.Trap,Map.Group.Surface,State.Combat.NonCombat,State.Party.AllAlive,State.Character.LowHP,Value.Main.Damage,10,Value.Sub.HPPercent,50,Speaker.Horus,헤루가 함정에 걸림
T10038,Chat.Event.TriggerTrap,Actor.Type.Player,Actor.Nefer,Actor.Type.Trap,Actor.Trap,Chat.Action.Trap,Chat.Attack.Trap,Map.Group.Upper,State.Combat.NonCombat,State.Party.AllAlive,State.Character.LowHP,Value.Main.Damage,10,Value.Sub.HPPercent,50,Speaker.Isis,네페르가 함정에 걸림
T10039,Chat.Event.DisarmTrap,Actor.Type.Player,Actor.Inpu,Actor.Type.Trap,Actor.Trap,Chat.Action.Trap,,Map.Group.Deep,State.Combat.NonCombat,State.Party.AllAlive,State.Character.Normal,Value.Main.Progress,100,Value.Sub.None,,Speaker.Anubis,인푸가 함정 해제
T10040,Chat.Event.OpenShortcut,Actor.Type.Player,Actor.Heru,Actor.Type.Object,Actor.LoreTablet,Chat.Action.Interaction,,Map.Group.Deep,State.Combat.NonCombat,State.Party.AllAlive,State.Character.Normal,Value.Main.Progress,100,Value.Sub.None,,Speaker.Ra,헤루가 숏컷 개방
T10041,Chat.Event.DonationGranted,Actor.Type.System,Actor.Party,Actor.Type.Party,Actor.Party,Chat.Action.Interaction,,Map.Group.Lobby,State.Combat.NonCombat,State.Party.AllAlive,State.Character.Normal,Value.Main.Gold,100,Value.Sub.None,,Speaker.System,일반 도네 발생
T10042,Chat.Event.DonationSpecial,Actor.Type.System,Actor.Party,Actor.Type.Party,Actor.Party,Chat.Action.Interaction,,Map.Group.Lobby,State.Combat.NonCombat,State.Party.AllAlive,State.Character.Buffed,Value.Main.Gold,500,Value.Sub.None,,Speaker.System,특별 도네 발생
T10043,Chat.Event.MissionAssigned,Actor.Type.System,Actor.Party,Actor.Type.Party,Actor.Party,Chat.Action.Interaction,,Map.Group.Camp,State.Combat.NonCombat,State.Party.AllAlive,State.Character.Normal,Value.Main.Progress,0,Value.Sub.RemainTime,300,Speaker.System,미션 부여
T10044,Chat.Event.MissionProgress,Actor.Type.Player,Actor.Heru,Actor.Type.System,Actor.Party,Chat.Action.Puzzle,,Map.Group.Surface,State.Combat.Normal,State.Party.AllAlive,State.Character.Normal,Value.Main.Progress,50,Value.Sub.RemainTime,180,Speaker.Thoth,헤루가 미션 진행
T10045,Chat.Event.MissionSuccess,Actor.Type.Party,Actor.Party,Actor.Type.System,Actor.Party,Chat.Action.Puzzle,,Map.Group.Camp,State.Combat.PostCombat,State.Party.Recovered,State.Character.Normal,Value.Main.Progress,100,Value.Sub.None,,Speaker.Ra,미션 성공
T10046,Chat.Event.MissionFail,Actor.Type.Party,Actor.Party,Actor.Type.System,Actor.Party,Chat.Action.Puzzle,,Map.Group.Deep,State.Combat.PostCombat,State.Party.Critical,State.Character.LowHP,Value.Main.Progress,0,Value.Sub.RemainTime,0,Speaker.Set,미션 실패
T10047,Chat.Event.KillEnemy,Actor.Type.Player,Actor.Inpu,Actor.Type.Enemy,Actor.Medjed,Chat.Action.StatusEffect,Chat.Attack.DOT,Map.Group.Deep,State.Combat.Normal,State.Party.OneDown,State.Character.Debuffed,Value.Main.KillCount,1,Value.Sub.Stack,2,Speaker.Anubis,인푸가 상태 이상으로 메제드 처치
T10048,Chat.Event.DamageTaken,Actor.Type.Player,Actor.Heru,Actor.Type.Enemy,Actor.SetPriest,Chat.Action.EnemyAttack,Chat.Attack.DOT,Map.Group.SetTemple,State.Combat.Boss,State.Party.Critical,State.Character.Debuffed,Value.Main.Damage,25,Value.Sub.HPPercent,25,Speaker.Set,세트의 사제가 헤루에게 지속 피해
T10049,Chat.Event.HealReceived,Actor.Type.Player,Actor.Inpu,Actor.Type.Player,Actor.Inpu,Chat.Action.StatusEffect,,Map.Group.Camp,State.Combat.PostCombat,State.Party.Recovered,State.Character.Revived,Value.Main.Heal,30,Value.Sub.HPPercent,70,Speaker.Hathor,인푸가 부활 직후 회복
T10050,Chat.Event.EnterArea,Actor.Type.Party,Actor.Party,Actor.Type.System,Actor.Party,Chat.Action.Interaction,,Map.Group.Lobby,State.Combat.NonCombat,State.Party.AllAlive,State.Character.Normal,Value.Main.Progress,1,Value.Sub.None,,Speaker.System,로비 입장 안내
